Player,Pitcher,T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Nick Castellanos,Sandy Alcántara,R,9,9,3,1,0,0,2,0,1,0.333,0.333,0.444,0.778,0,0,0,0,1,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=alcant000san&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Josiah Gray,R,9,9,5,0,0,2,3,0,2,0.556,0.556,1.222,1.778,0,0,0,0,0,WSN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gray--004jos&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,MacKenzie Gore,L,7,7,4,0,0,2,3,0,0,0.571,0.571,1.429,2,0,0,0,0,0,WSN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gore--000mac&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kyle Freeland,L,6,6,2,0,0,2,2,0,1,0.333,0.333,1.333,1.667,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=freela000kyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Braxton Garrett,L,6,6,2,0,0,0,1,0,2,0.333,0.333,0.333,0.667,0,0,0,0,0,FLA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=garret004bra&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Tommy Henry,L,6,6,2,0,0,0,0,0,2,0.333,0.333,0.333,0.667,0,0,0,0,0,ARI,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=henry-002tom&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Nick Lodolo,L,6,5,1,0,0,0,1,1,2,0.2,0.333,0.2,0.533,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=lodolo000nic&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Jesús Luzardo,L,6,4,2,0,0,0,0,2,2,0.5,0.667,0.5,1.167,0,0,0,0,0,FLA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=luzard000jes&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Miles Mikolas,R,6,6,1,0,0,0,0,0,1,0.167,0.167,0.167,0.333,0,0,0,0,0,STL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=mikola001mil&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Charlie Morton,R,6,5,0,0,0,0,0,1,3,0,0.167,0,0.167,0,0,0,0,0,ATL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=morton001cha&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Max Scherzer,R,6,5,5,0,0,1,2,0,0,1,0.833,1.6,2.433,0,1,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=scherz001max&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kodai Senga,R,6,6,1,0,0,0,0,0,2,0.167,0.167,0.167,0.333,0,0,0,0,0,NYM,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=senga-000kod&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Jameson Taillon,R,5,5,2,0,0,0,1,0,0,0.4,0.4,0.4,0.8,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=taillo001jam&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,José Buttó,R,5,5,1,0,0,1,2,0,1,0.2,0.2,0.8,1,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=butto-000jos&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Carlos Carrasco,R,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=carras002car&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Johnny Cueto,R,5,4,3,1,0,0,2,1,0,0.75,0.8,1,1.8,0,0,0,0,1,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=cueto-001joh&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Bryce Elder,R,5,5,2,0,0,2,3,0,2,0.4,0.4,1.6,2,0,0,0,0,1,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=elder-000bry&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Ryan Feltner,R,5,5,3,0,0,0,1,0,0,0.6,0.6,0.6,1.2,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=feltne000rya&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kevin Gausman,R,5,5,3,2,0,0,1,0,1,0.6,0.6,1,1.6,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gausma001kev&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Lucas Giolito,R,5,4,0,0,0,0,0,1,0,0,0.2,0,0.2,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=giolit000luc&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Rich Hill,L,5,5,2,1,0,0,0,0,2,0.4,0.4,0.6,1,0,0,0,0,1,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=hill--002ric&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Dakota Hudson,R,5,5,1,1,0,0,1,0,0,0.2,0.2,0.4,0.6,0,0,0,0,1,COL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=hudson000dak&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Mitch Keller,R,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Ryne Nelson,R,5,5,1,0,0,0,0,0,1,0.2,0.2,0.2,0.4,0,0,0,0,0,ARI,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=nelson002ryn&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Jose Quintana,L,5,4,1,0,1,0,1,0,1,0.25,0.4,0.75,1.15,0,0,0,1,0,NYM,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=quinta001jos&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Colin Rea,R,5,5,1,0,0,1,1,0,2,0.2,0.2,0.8,1,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=rea---000col&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Alex Cobb,R,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,SFG,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=cobb--001ale&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kyle Finnegan,R,4,4,1,1,0,0,0,0,2,0.25,0.25,0.5,0.75,0,0,0,0,0,WSN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=finneg000kyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Andrés Machado,R,4,3,1,0,0,1,3,1,1,0.333,0.5,1.333,1.833,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=machad002and&year_min=2023&year_max=2023&seasons_type=forall
