Player,H_T,Pitcher,P_T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Adley Rutschman,S,Trevor Richards,R,2,2,1,0,0,0,2,0,0,0.5,0.5,0.5,1,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=richar001tre&year_min=2023&year_max=2023&seasons_type=forall
Jose Abreu,R,Trevor Richards,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=richar001tre&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Trevor Richards,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=richar001tre&year_min=2023&year_max=2023&seasons_type=forall
Randy Arozarena,R,Trevor Richards,R,3,2,1,0,0,0,0,1,0,0.5,0.667,0.5,1.167,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=richar001tre&year_min=2023&year_max=2023&seasons_type=forall
Thairo Estrada,R,Trevor Richards,R,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=richar001tre&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,R,Trevor Richards,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=richar001tre&year_min=2023&year_max=2023&seasons_type=forall
Brandon Nimmo,L,Trevor Richards,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=nimmo-000bra&player_id2=richar001tre&year_min=2023&year_max=2023&seasons_type=forall
Sean Murphy,R,Austin Gomber,L,1,1,1,1,0,0,0,0,0,1,1,2,3,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
Jose Abreu,R,Austin Gomber,L,3,3,2,0,0,0,1,0,0,0.667,0.667,0.667,1.333,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Austin Gomber,L,6,5,1,0,0,0,0,1,0,0.2,0.333,0.2,0.533,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
Elly de la Cruz,S,Austin Gomber,L,3,3,1,0,0,0,0,0,1,0.333,0.333,0.333,0.667,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=delacr000ell&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Austin Gomber,L,9,9,4,0,0,0,0,0,2,0.444,0.444,0.444,0.889,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
Randy Arozarena,R,Austin Gomber,L,3,3,1,0,0,1,1,0,1,0.333,0.333,1.333,1.667,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
Pete Alonso,R,Austin Gomber,L,5,5,2,1,0,0,1,0,0,0.4,0.4,0.6,1,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
